"","incident_number","exposure_number","alarm_date","alarm_time","incident_type","incident_description","estimated_property_loss","estimated_content_loss","district","city_section","neighborhood","zip","property_use","property_description","street_number","street_prefix","street_name","street_suffix","street_type","address_2","xstreet_prefix","xstreet_name","xstreet_suffix","xstreet_type","loss_sum","fire"
"56","23-0012614",0,"2023-02-18","12:30:49","111","Building fire",5000,4000,"10","WR","West Roxbury","02136","429","Multifamily dwelling","150","","EDGEMERE","","RD","","","","","",9000,1
"208","23-0012428",0,"2023-02-17","14:58:46","111","Building fire",150000,75000,"11","BR","Allston-Brighton","02135","419","1 or 2 family dwelling","9","","JETTE","","CT","","","","","",225000,1
"437","23-0011844",0,"2023-02-15","09:19:48","113","Cooking fire, confined to container",1000,1000,"03","CH","Charlestown","02129","500","Mercantile, business, Other","297","","MAIN","","ST","","","","","",2000,1
"600","23-0011621",0,"2023-02-14","10:16:05","111","Building fire",125000,5000,"09","JP","Jamaica Plain","02130","429","Multifamily dwelling","336","","CENTRE","","ST","","","","","",130000,1
"628","23-0011656",0,"2023-02-14","12:22:25","113","Cooking fire, confined to container",2500,2500,"06","SB","South Boston","02210","519","Food and beverage sales, grocery store","77","","SEAPORT","","BLVD",": @SHAKE SHACK - 77 SEAPORT BLVD, SB","","","","",5000,1
"631","23-0011660",0,"2023-02-14","12:40:18","151","Outside rubbish, trash or waste fire",2000,0,"09","","","00000","900","Outside or special property, Other","","","NEPONSET RIVER BRIDGE","","",": @QUINCY 8225","","","","",2000,1
"754","23-0011372",0,"2023-02-13","10:59:55","111","Building fire",30000,1000,"06","SB","South Boston","02127","429","Multifamily dwelling","19","","COLONEL MICHAEL J. MCDONO","","WAY","","","","","",31000,1
"860","23-0011125",0,"2023-02-12","05:34:12","111","Building fire",150000,0,"03","BO","Boston","02108","400","Residential, Other","63","","BEACON","","ST","","","","","",150000,1
"864","23-0011133",0,"2023-02-12","06:48:55","111","Building fire",2000,2000,"07","DO","Dorchester","02125","429","Multifamily dwelling","6","","QUINCEFIELD","","ST","","","","","",4000,1
"914","23-0011199",0,"2023-02-12","14:46:08","131","Passenger vehicle fire",1000,0,"07","DO","Dorchester","02124","963","Street or road in commercial area","","","DORCHESTER","","AVE","","","GIBSON","","ST",1000,1
"978","23-0010873",0,"2023-02-11","00:30:23","111","Building fire",30000,15000,"09","RX","Roxbury","02120","429","Multifamily dwelling","142","","CALUMET","","ST","","","","","",45000,1
"1013","23-0010934",0,"2023-02-11","09:13:50","111","Building fire",25000,25000,"04","BO","Boston","02118","429","Multifamily dwelling","300","","HARRISON","","AVE","","","","","",50000,1
"1028","23-0010957",0,"2023-02-11","10:56:24","131","Passenger vehicle fire",0,20000,"07","RX","Roxbury","02118","965","Vehicle parking area","30","","NORTHAMPTON","","ST","","","","","",20000,1
"1041","23-0010980",0,"2023-02-11","12:38:26","111","Building fire",1000,1000,"07","RX","Roxbury","02119","419","1 or 2 family dwelling","26","","MOUNT PLEASANT","","AVE","","","","","",2000,1
"1162","23-0010656",0,"2023-02-10","09:27:47","111","Building fire",75000,75000,"07","DO","Dorchester","02125","140","Clubs, Other","21","","BALFOUR","","ST","","","","","",150000,1
"1296","23-0010345",0,"2023-02-09","02:33:36","131","Passenger vehicle fire",5000,1000,"04","BO","Boston","02116","960","Street, Other","78","","WARRENTON","S","ST","","","","","",6000,1
"1373","23-0010450",0,"2023-02-09","13:37:51","113","Cooking fire, confined to container",500,500,"07","DO","Dorchester","02122","400","Residential, Other","45","","LYON","","ST","","","","","",1000,1
"1401","23-0010496",0,"2023-02-09","16:35:03","131","Passenger vehicle fire",20000,0,"03","","","02110","922","Tunnel","","","I93","S","",": #MTA9","","","","",20000,1
